#EXTM3U x-tvg-url="https://diyp0731.112114.xyz/pp.xml.gz"
#江西移动内网源，仅限江西移动网络使用。
#EXT-X-SUB-URL https://live.404003.xyz/m3u/jxyd.m3u


4K,#genre#

纯享4K,http://39.135.140.104:6610/PLTV/88888888/224/3221225786/1/index.m3u8?fmt=ts2hls
纯享4K,http://39.135.140.104:6610/PLTV/88888888/224/3221225786/1/index.m3u8
纯享4K,http://39.135.140.104:6610/PLTV/88888888/224/3221225786/index.m3u8
CCTV16-4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226236/index.m3u8?fmt=ts2hls
CCTV16-4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226236/1/index.m3u8?fmt=ts2hls
CCTV16-4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226236/1/index.m3u8?fmt=ts2hls
CCTV16-4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226236/index.m3u8?fmt=ts2hls
东方卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226429/index.m3u8?fmt=ts2hls
北京卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8?fmt=ts2hls
北京卫视4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226394/1/index.m3u8
北京卫视4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226386/1/index.m3u8?fmt=ts2hls
北京卫视4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226394/1/index.m3u8
北京卫视4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226394/index.m3u8
北京卫视4K,http://ysten.jx.chinamobile.com:8080/PLTV/88888888/224/3221226386/1.m3u8?fmt=ts2hls$易视腾
四川卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8?fmt=ts2hls
山东卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226407/index.m3u8?fmt=ts2hls
广东卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226405/index.m3u8?fmt=ts2hls
广东卫视4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226405/1/index.m3u8?fmt=ts2hls
广东卫视4K,http://39.135.140.104:6610/PLTV/88888888/224/3221226405/1/index.m3u8?fmt=ts2hls
江苏卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226401/index.m3u8?fmt=ts2hls
浙江卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226404/index.m3u8?fmt=ts2hls
深圳卫视4K,http://39.134.115.191:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8?fmt=ts2hls
